AGI,mRNA,description
AT1G03200,AT1G03200.1,""
AT1G03210,AT1G03210.1,Phenazine biosynthesis PhzC/PhzF protein [Source:NCBI gene (formerly Entrezgene);Acc:838493]
AT1G03220,AT1G03220.1,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:838517]
AT1G03230,AT1G03230.1,Eukaryotic aspartyl protease family protein [Source:NCBI gene (formerly Entrezgene);Acc:838532]
AT1G03240,AT1G03240.1,""
AT1G03250,AT1G03250.2,R3H domain protein [Source:NCBI gene (formerly Entrezgene);Acc:838557]
AT1G03260,AT1G03260.1,SNARE associated Golgi protein family [Source:NCBI gene (formerly Entrezgene);Acc:839546]
AT1G03270,AT1G03270.1,CBS domain protein with a domain protein (DUF21) [Source:NCBI gene (formerly Entrezgene);Acc:838595]
AT1G03280,AT1G03280.1,"Transcription factor TFIIE, alpha subunit [Source:NCBI gene (formerly Entrezgene);Acc:838581]"
AT1G03290,AT1G03290.1,ELKS/Rab6-interacting/CAST family protein [Source:NCBI gene (formerly Entrezgene);Acc:838603]
AT1G03300,AT1G03300.1,at domain protein (DOMAIN OF UNKNOWN FUNCTION 724 1) [Source:NCBI gene (formerly Entrezgene);Acc:838627]
AT1G03310,AT1G03310.2,debranching enzyme 1 [Source:NCBI gene (formerly Entrezgene);Acc:839531]
AT1G03320,AT1G03320.1,""
AT1G03330,AT1G03330.1,Small nuclear ribonucleoprotein family protein [Source:NCBI gene (formerly Entrezgene);Acc:839526]
AT1G03340,AT1G03340.1,""
AT1G03350,AT1G03350.1,BSD domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:838679]
AT1G03360,AT1G03360.1,ribosomal RNA processing 4 [Source:NCBI gene (formerly Entrezgene);Acc:839521]
AT1G03365,AT1G03365.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:10723112]
AT1G03370,AT1G03370.1,C2 calcium/lipid-binding and GRAM domain containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839519]
AT1G03380,AT1G03380.1,autophagy 18 G-like protein [Source:NCBI gene (formerly Entrezgene);Acc:838702]
AT1G03390,AT1G03390.1,HXXXD-type acyl-transferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:838725]
AT1G03400,AT1G03400.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838751]
AT1G03410,AT1G03410.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:838763]
AT1G03420,AT1G03420.1,
AT1G03430,AT1G03430.1,histidine-containing phosphotransfer factor 5 [Source:NCBI gene (formerly Entrezgene);Acc:839506]
AT1G03440,AT1G03440.1,Leucine-rich repeat (LRR) family protein [Source:NCBI gene (formerly Entrezgene);Acc:839504]
AT1G03445,AT1G03445.1,Serine/threonine protein phosphatase family protein [Source:NCBI gene (formerly Entrezgene);Acc:838804]
AT1G03457,AT1G03457.2,RNA-binding (RRM/RBD/RNP motifs) family protein [Source:NCBI gene (formerly Entrezgene);Acc:839497]
AT1G03470,AT1G03470.1,Kinase interacting (KIP1-like) family protein [Source:NCBI gene (formerly Entrezgene);Acc:839494]
AT1G03475,AT1G03475.1,Coproporphyrinogen III oxidase [Source:NCBI gene (formerly Entrezgene);Acc:839489]
AT1G03490,AT1G03490.1,NAC domain containing protein 6 [Source:NCBI gene (formerly Entrezgene);Acc:839487]
AT1G03495,AT1G03495.1,HXXXD-type acyl-transferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:3766646]
AT1G03502,AT1G03502.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:3766647]
AT1G03506,AT1G03506.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:3766648]
AT1G03510,AT1G03510.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839478]
AT1G03515,AT1G03515.1,""
AT1G03520,AT1G03520.1,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839471]"
AT1G03530,AT1G03530.1,nuclear assembly factor 1 [Source:NCBI gene (formerly Entrezgene);Acc:839468]
AT1G03540,AT1G03540.1,Pentatricopeptide repeat (PPR-like) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839466]
AT1G03545,AT1G03545.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:10723130]
AT1G03550,AT1G03550.1,Secretory carrier membrane protein (SCAMP) family protein [Source:NCBI gene (formerly Entrezgene);Acc:839464]
AT1G03560,AT1G03560.1,Pentatricopeptide repeat (PPR-like) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839458]
AT1G03570,AT1G03570.1,""
AT1G03580,AT1G03580.1,
AT1G03590,AT1G03590.1,Protein phosphatase 2C family protein [Source:NCBI gene (formerly Entrezgene);Acc:839447]
AT1G03600,AT1G03600.1,photosystem II family protein [Source:NCBI gene (formerly Entrezgene);Acc:839449]
AT1G03610,AT1G03610.1,plant/protein (DUF789) [Source:NCBI gene (formerly Entrezgene);Acc:838961]
AT1G03620,AT1G03620.1,ELMO/CED-12 family protein [Source:NCBI gene (formerly Entrezgene);Acc:839448]
AT1G03630,AT1G03630.1,protochlorophyllide oxidoreductase C [Source:NCBI gene (formerly Entrezgene);Acc:839009]
AT1G03640,AT1G03640.1,""
AT1G03650,AT1G03650.1,Acyl-CoA N-acyltransferases (NAT) superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839021]
AT1G03660,AT1G03660.1,Ankyrin-repeat containing protein [Source:NCBI gene (formerly Entrezgene);Acc:28716028]
AT1G03670,AT1G03670.1,ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:839438]
AT1G03680,AT1G03680.1,thioredoxin M-type 1 [Source:NCBI gene (formerly Entrezgene);Acc:839436]
AT1G03687,AT1G03687.1,DTW domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839052]
AT1G03700,AT1G03700.1,Uncharacterized protein family (UPF0497) [Source:NCBI gene (formerly Entrezgene);Acc:839428]
AT1G03710,AT1G03710.1,Cystatin/monellin superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839427]
AT1G03720,AT1G03720.1,Cysteine proteinases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839426]
AT1G03730,AT1G03730.1,pyrroline-5-carboxylate reductase [Source:NCBI gene (formerly Entrezgene);Acc:839106]
AT1G03740,AT1G03740.1,Protein kinase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839423]
AT1G03743,AT1G03743.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:3766653]
AT1G03746,AT1G03746.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:3766654]
AT1G03750,AT1G03750.1,switch 2 [Source:NCBI gene (formerly Entrezgene);Acc:839417]
AT1G03760,AT1G03760.1,Prefoldin chaperone subunit family protein [Source:NCBI gene (formerly Entrezgene);Acc:839119]
AT1G03770,AT1G03770.2,RING 1B [Source:NCBI gene (formerly Entrezgene);Acc:839413]
AT1G03780,AT1G03780.3,targeting protein for XKLP2 [Source:NCBI gene (formerly Entrezgene);Acc:839140]
AT1G03790,AT1G03790.1,Zinc finger C-x8-C-x5-C-x3-H type family protein [Source:NCBI gene (formerly Entrezgene);Acc:839408]
AT1G03800,AT1G03800.1,ERF domain protein 10 [Source:NCBI gene (formerly Entrezgene);Acc:839173]
AT1G03810,AT1G03810.1,"Nucleic acid-binding, OB-fold-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839403]"
AT1G03820,AT1G03820.1,E6-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839400]
AT1G03830,AT1G03830.2,guanylate-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:839398]
AT1G03840,AT1G03840.1,C2H2 and C2HC zinc fingers superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839396]
AT1G03850,AT1G03850.1,Glutaredoxin family protein [Source:NCBI gene (formerly Entrezgene);Acc:839392]
AT1G03860,AT1G03860.1,prohibitin 2 [Source:NCBI gene (formerly Entrezgene);Acc:839228]
AT1G03870,AT1G03870.1,FASCICLIN-like arabinoogalactan 9 [Source:NCBI gene (formerly Entrezgene);Acc:839384]
AT1G03880,AT1G03880.1,cruciferin 2 [Source:NCBI gene (formerly Entrezgene);Acc:839383]
AT1G03890,AT1G03890.1,RmlC-like cupins superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839379]
AT1G03900,AT1G03900.1,non-intrinsic ABC protein 4 [Source:NCBI gene (formerly Entrezgene);Acc:839378]
AT1G03905,AT1G03905.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839376]
AT1G03910,AT1G03910.2,"cactus-binding carboxy-terminal, cactin [Source:NCBI gene (formerly Entrezgene);Acc:839371]"
AT1G03920,AT1G03920.1,Protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839369]
AT1G03930,AT1G03930.1,dual specificity kinase 1 [Source:NCBI gene (formerly Entrezgene);Acc:839368]
AT1G03935,AT1G03935.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:3766655]
AT1G03940,AT1G03940.1,HXXXD-type acyl-transferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839366]
AT1G03950,AT1G03950.1,vacuolar protein sorting-associated protein 2.3 [Source:NCBI gene (formerly Entrezgene);Acc:839362]
AT1G03960,AT1G03960.1,Calcium-binding EF hand family protein [Source:NCBI gene (formerly Entrezgene);Acc:839361]
AT1G03970,AT1G03970.1,G-box binding factor 4 [Source:NCBI gene (formerly Entrezgene);Acc:839356]
AT1G03980,AT1G03980.1,phytochelatin synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:839354]
AT1G03982,AT1G03982.1,PAK-box/P21-Rho-binding family protein [Source:NCBI gene (formerly Entrezgene);Acc:3766656]
AT1G03990,AT1G03990.1,Long-chain fatty alcohol dehydrogenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839342]
AT1G04000,AT1G04000.1,""
AT1G04010,AT1G04010.1,phospholipid sterol acyl transferase 1 [Source:NCBI gene (formerly Entrezgene);Acc:839335]
AT1G04020,AT1G04020.1,breast cancer associated RING 1 [Source:NCBI gene (formerly Entrezgene);Acc:839329]
AT1G04030,AT1G04030.1,eisosome protein [Source:NCBI gene (formerly Entrezgene);Acc:839326]
AT1G04040,AT1G04040.1,"HAD superfamily, subfamily IIIB acid phosphatase [Source:NCBI gene (formerly Entrezgene);Acc:839325]"
AT1G04050,AT1G04050.1,histone-lysine N-methyltransferase SUVR2-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839320]
AT1G04070,AT1G04070.1,translocase of outer membrane 22-I [Source:NCBI gene (formerly Entrezgene);Acc:839317]
AT1G04080,AT1G04080.3,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839314]
AT1G04090,AT1G04090.1,vacuolar sorting-associated protein (DUF946) [Source:NCBI gene (formerly Entrezgene);Acc:839298]
AT1G04100,AT1G04100.1,indoleacetic acid-induced protein 10 [Source:NCBI gene (formerly Entrezgene);Acc:839290]
AT1G04110,AT1G04110.1,Subtilase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839287]
AT1G04120,AT1G04120.1,multidrug resistance-associated protein 5 [Source:NCBI gene (formerly Entrezgene);Acc:839277]
AT1G04130,AT1G04130.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839276]
AT1G04140,AT1G04140.2,Transducin family protein / WD-40 repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:839272]
AT1G04150,AT1G04150.1,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839249]
AT1G04160,AT1G04160.1,myosin XI B [Source:NCBI gene (formerly Entrezgene);Acc:839246]
AT1G04170,AT1G04170.1,eukaryotic translation initiation factor 2 gamma subunit [Source:NCBI gene (formerly Entrezgene);Acc:839238]
AT1G04171,AT1G04171.1,
AT1G04180,AT1G04180.1,YUCCA 9 [Source:NCBI gene (formerly Entrezgene);Acc:837024]
AT1G04190,AT1G04190.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839442]
AT1G04200,AT1G04200.1,dyggve-melchior-clausen syndrome protein [Source:NCBI gene (formerly Entrezgene);Acc:839439]
AT1G04210,AT1G04210.1,Leucine-rich repeat protein kinase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839441]
AT1G04220,AT1G04220.1,3-ketoacyl-CoA synthase 2 [Source:NCBI gene (formerly Entrezgene);Acc:839578]
AT1G04230,AT1G04230.1,rRNA-processing EFG1-like protein (DUF2361) [Source:NCBI gene (formerly Entrezgene);Acc:839575]
AT1G04240,AT1G04240.1,AUX/IAA transcriptional regulator family protein [Source:NCBI gene (formerly Entrezgene);Acc:839570]
AT1G04250,AT1G04250.1,AUX/IAA transcriptional regulator family protein [Source:NCBI gene (formerly Entrezgene);Acc:839568]
AT1G04260,AT1G04260.1,CAMV movement protein interacting protein 7 [Source:NCBI gene (formerly Entrezgene);Acc:839565]
AT1G04270,AT1G04270.1,cytosolic ribosomal protein S15 [Source:NCBI gene (formerly Entrezgene);Acc:839564]
AT1G04280,AT1G04280.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839555]
AT1G04290,AT1G04290.1,Thioesterase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839552]
AT1G04295,AT1G04295.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:5007661]
AT1G04300,AT1G04300.3,TRAF-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839551]
AT1G04310,AT1G04310.1,ethylene response sensor 2 [Source:NCBI gene (formerly Entrezgene);Acc:839549]
AT1G04320,AT1G04320.1,""
AT1G04330,AT1G04330.1,""
AT1G04340,AT1G04340.1,HR-like lesion-inducing protein-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839547]
AT1G04350,AT1G04350.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839542]
AT1G04360,AT1G04360.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839540]
AT1G04370,AT1G04370.1,Ethylene-responsive element binding factor 14 [Source:NCBI gene (formerly Entrezgene);Acc:839539]
AT1G04380,AT1G04380.1,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839535]
AT1G04390,AT1G04390.1,BTB/POZ domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839530]
AT1G04400,AT1G04400.2,cryptochrome 2 [Source:NCBI gene (formerly Entrezgene);Acc:839529]
AT1G04410,AT1G04410.1,Lactate/malate dehydrogenase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839527]
AT1G04420,AT1G04420.1,NAD(P)-linked oxidoreductase superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839524]
AT1G04425,AT1G04425.1,ncRNA [Source:NCBI gene (formerly Entrezgene);Acc:6240819]
AT1G04430,AT1G04430.1,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839522]
AT1G04440,AT1G04440.1,casein kinase like 13 [Source:NCBI gene (formerly Entrezgene);Acc:839520]
AT1G04445,AT1G04445.1,C2H2-like zinc finger protein [Source:NCBI gene (formerly Entrezgene);Acc:28716121]
AT1G04450,AT1G04450.1,ROP-interactive CRIB motif-containing protein 3 [Source:NCBI gene (formerly Entrezgene);Acc:839513]
AT1G04457,AT1G04457.1,
AT1G04470,AT1G04470.1,""
AT1G04480,AT1G04480.1,Ribosomal protein L14p/L23e family protein [Source:NCBI gene (formerly Entrezgene);Acc:839511]
AT1G04490,AT1G04490.1,""
AT1G04500,AT1G04500.1,CCT motif family protein [Source:NCBI gene (formerly Entrezgene);Acc:839510]
AT1G04501,AT1G04501.1,
AT1G04510,AT1G04510.1,MOS4-associated complex 3A [Source:NCBI gene (formerly Entrezgene);Acc:839503]
AT1G04520,AT1G04520.1,plasmodesmata-located protein 2 [Source:NCBI gene (formerly Entrezgene);Acc:839502]
AT1G04530,AT1G04530.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839500]
AT1G04540,AT1G04540.1,Calcium-dependent lipid-binding (CaLB domain) family protein [Source:NCBI gene (formerly Entrezgene);Acc:839498]
AT1G04550,AT1G04550.2,AUX/IAA transcriptional regulator family protein [Source:NCBI gene (formerly Entrezgene);Acc:839495]
AT1G04555,AT1G04555.1,transmembrane protein [Source:NCBI gene (formerly Entrezgene);Acc:5007662]
AT1G04560,AT1G04560.1,AWPM-19-like family protein [Source:NCBI gene (formerly Entrezgene);Acc:839491]
AT1G04570,AT1G04570.1,Major facilitator superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839486]
AT1G04580,AT1G04580.1,aldehyde oxidase 4 [Source:NCBI gene (formerly Entrezgene);Acc:839488]
AT1G04590,AT1G04590.2,PPR containing-like protein [Source:NCBI gene (formerly Entrezgene);Acc:839484]
AT1G04600,AT1G04600.1,myosin XI A [Source:NCBI gene (formerly Entrezgene);Acc:839480]
AT1G04610,AT1G04610.1,YUCCA 3 [Source:NCBI gene (formerly Entrezgene);Acc:839474]
AT1G04620,AT1G04620.1,"coenzyme F420 hydrogenase family / dehydrogenase, beta subunit family [Source:NCBI gene (formerly Entrezgene);Acc:839472]"
AT1G04625,AT1G04625.1,"Polynucleotidyl transferase, ribonuclease H-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:3766658]"
AT1G04630,AT1G04630.1,GRIM-19 protein [Source:NCBI gene (formerly Entrezgene);Acc:839465]
AT1G04635,AT1G04635.1,ribonuclease P family protein / Rpp14 family protein [Source:NCBI gene (formerly Entrezgene);Acc:839460]
AT1G04640,AT1G04640.1,lipoyltransferase 2 [Source:NCBI gene (formerly Entrezgene);Acc:839462]
AT1G04645,AT1G04645.1,Plant self-incompatibility protein S1 family [Source:NCBI gene (formerly Entrezgene);Acc:839459]
AT1G04650,AT1G04650.1,holliday junction resolvase [Source:NCBI gene (formerly Entrezgene);Acc:839457]
AT1G04660,AT1G04660.1,glycine-rich protein [Source:NCBI gene (formerly Entrezgene);Acc:839454]
AT1G04670,AT1G04670.1,""
AT1G04680,AT1G04680.1,Pectin lyase-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839452]
AT1G04684,AT1G04684.1,
AT1G04690,AT1G04690.1,potassium channel beta subunit 1 [Source:NCBI gene (formerly Entrezgene);Acc:839450]
AT1G04700,AT1G04700.1,PB1 domain-containing protein tyrosine kinase [Source:NCBI gene (formerly Entrezgene);Acc:839437]
AT1G04710,AT1G04710.1,peroxisomal 3-ketoacyl-CoA thiolase 4 [Source:NCBI gene (formerly Entrezgene);Acc:839434]
AT1G04720,AT1G04720.1,""
AT1G04730,AT1G04730.1,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839431]
AT1G04750,AT1G04750.1,vesicle-associated membrane protein 721 [Source:NCBI gene (formerly Entrezgene);Acc:839419]
AT1G04760,AT1G04760.1,vesicle-associated membrane protein 726 [Source:NCBI gene (formerly Entrezgene);Acc:839424]
AT1G04770,AT1G04770.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839418]
AT1G04778,AT1G04778.1,""
AT1G04780,AT1G04780.1,Ankyrin repeat family protein [Source:NCBI gene (formerly Entrezgene);Acc:839414]
AT1G04790,AT1G04790.1,RING/U-box superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839412]
AT1G04800,AT1G04800.1,glycine-rich protein [Source:NCBI gene (formerly Entrezgene);Acc:839406]
AT1G04810,AT1G04810.1,"26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit [Source:NCBI gene (formerly Entrezgene);Acc:839409]"
AT1G04820,AT1G04820.1,tubulin alpha-4 chain [Source:NCBI gene (formerly Entrezgene);Acc:839405]
AT1G04830,AT1G04830.2,Ypt/Rab-GAP domain of gyp1p superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839404]
AT1G04840,AT1G04840.1,Tetratricopeptide repeat (TPR)-like superfamily protein [Source:NCBI gene (formerly Entrezgene);Acc:839402]
AT1G04850,AT1G04850.1,ubiquitin-associated (UBA)/TS-N domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839399]
AT1G04860,AT1G04860.1,ubiquitin-specific protease 2 [Source:NCBI gene (formerly Entrezgene);Acc:839397]
AT1G04870,AT1G04870.2,protein arginine methyltransferase 10 [Source:NCBI gene (formerly Entrezgene);Acc:839393]
AT1G04880,AT1G04880.1,HMG (high mobility group) box protein with ARID/BRIGHT DNA-binding domain-containing protein [Source:NCBI gene (formerly Entrezgene);Acc:839388]
AT1G04890,AT1G04890.1,"zein-binding protein (Protein of unknown function, DUF593) [Source:NCBI gene (formerly Entrezgene);Acc:839387]"
AT1G04900,AT1G04900.1,"NADH dehydrogenase ubiquinone complex I, assembly factor-like protein (DUF185) [Source:NCBI gene (formerly Entrezgene);Acc:839386]"
AT1G04910,AT1G04910.1,O-fucosyltransferase family protein [Source:NCBI gene (formerly Entrezgene);Acc:839373]
AT1G04920,AT1G04920.1,sucrose phosphate synthase 3F [Source:NCBI gene (formerly Entrezgene);Acc:839382]
